rxns,fluxvector
13DAMPPOX,0
2HBt2,0
34DHOXPEGOX,0
34DHPHAMT,0
34DHPHEt,0
34DHALDD,0
34DHPLACOX_NADP,0
34DHXMANDACOX_NADP,0
3HAO,0
3HKYNAKGAT,0
3M4HDXPAC,0
3MOBt2im,0
3MOX4HOXPGALDOX,1000
3MOX4HOXPGALDOX_NADP,-1000
3MOXTYROX,0
3SALAASPm,0
3SALACBOXL_cho,0
41R1H2MAE12BOOX,0
41R2A1H12BOOX,0
42A12BOOX,0
4ABUTtm,0
4HGLSDm,-0
4HOXPACDOX_NADP,-1000
5ADTSTSTERONEGLCte,-0
5ADTSTSTERONESULT,0
5AOPtm,1000
5HOXINOXDA,0
5HTRPVESSEC_1,0
5MTHFt,187.032053199629
A_MANASEly,0
A4GNT1g,0
A4GNT2g,0
AACTOOR,-0
AATA,-1000
ABUTt2rL,-0
ABUTt4_2_r,-1000
ACACT10m,-0
ACACT1m,83.4286078157705
ACACT1x,0
ACALDtm,-999.62722
ACCOAgt,0
ACCOALm,0
ACCOAtr,0
ACETONEt2,-0
ACGAMK,-0
ACGAMPM,0
ACGPID,-0
ACHVESSEC_1,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACNML,0
ACOAD10m,0
ACOAD1fm,0
ACOAD9m,0
ACONTm,1000
ACP1_FMN,0
ACRNtm,-1000
ACS2,0
ACSm,0
ACt2m,-999.62722
ACTLMO,0
ACTNMO,-0
ADEt,-0
ADK1m,-141.119117770302
ADK3,-917.242961093649
ADK3m,999.62722
ADKd,929.222786129045
ADMDC,0
ADNCYC,0
ADNK1m,858.508102229698
ADNt,658.673549492995
ADNt4,1000
ADNtl,-0
ADNtm,858.508102229698
ADPMAN,-0
ADPRIBt,-0
ADRNCPT1,0
ADRNCRNt,-1000
ADRNLPVESSEC_1,0
AG13T16g,0
AG13T17g,0
AG13T18g,0
AG13T1g,0
AG13T2g,0
AG13T3g,0
AGPAT1_1,-0
AGTim,767.741032688844
AGTix,0
AHANDROSTANGLCte,-0
AHEXASE2ly,0
AHEXASEly,0
AKGMALtm,-1000
AKGt4_3,-1000
AKGtp,0
AKR1D,0
AKR1D2,0
ALADGLNexR,-2.19220306599631e-13
ALADGLYexR,-1000
ALAGLNexR,-1000
ALAGLYexR,1000
ALASm,0
ALAt4,0
ALATA_L,-1000
ALCD21_D,1000
LCARS,-382.954469149076
ALCD22_D,0
ALCD22_L,382.954469149076
ALCD2x,999.62722
ALDD20x,0
ALDD20xm,-0
ALDD21,-0
ALDD2xm,999.62722
ALDD2y,0
ALOX12,0
ALOX15,0
ALOX5,0
ALOX52,0
ALR2,382.954469149076
ALR3,382.954469149076
AMPDA,1000
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
APRTO2,-0
ARABR,0
ARACHCPT1,-1.2158578836353e-13
ARACHCRNt,-1000
ARACHDt2,-1000
ARGLYSex,0
ARGNm,-1.95159217385984e-13
ARGtm,-1.95159217385985e-13
ARTFR208,315.553074505623
ASAH1,0
ASCBOX_1,500
ASCBt,-5.6843418860808e-14
ASNNm,-0
ASNt4,0
ASPDt6,-0
ASPGLUm,0
ASPt6,-0
ATPH1e,0
ATPH2e,0
ATPtm,1000
B3GALT3g,-0
B3GALT41g,0
B3GALT42g,-0
B3GALT43g,-0
B3GALT44g,-0
B3GALT5g,-0
B3GNT11g,0
B3GNT12g,0
B3GNT51g,-0
BAAT1x,0
BAAT2x,0
BAAT3x,-0
BAAT4x_cho,0
BACCL,0
BACCLm,-0
BALAVECSEC_1,0
BAMPPALDOX,0
BBHOX,-0
BCDO,-0
BDHm,-83.4286078157705
BHBt,-83.4286078157705
BHBtm,-83.4286078157705
BHMT,-0
BILDGLCURte,0
BILGLCURt,2.26608177429992e-13
BILGLCURte,0
BILIRED,1000
BILIRUBtr,0
BPNT2,0
BTNPL,-0
BTNPLm,-0
BTNt4i,0
C14STRr,-0
C160CPT1,-0
C160CPT2,20.8571519539426
C160CRNt,1000
C161CPT1,0
C161CPT12,0
C161CRN2t,-1000
C161CRNt,0
C180CPT1,20.8171653139428
C180CRNt,-1000
C181CPT1,0
C181CRNt,-1000
C204CPT1,0
C204CRNt,-1000
C226CPT1,0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO2Pr,0
C4STMO2r,0
CAATPS_1,0
CAt7r,-1000
CBPPer,798.64304498918
CBPSam,-1.95159217385984e-13
CBPter,798.64304498918
CDIPTr,-8.54560363841948
CDS,0
CDSm,-0
CEPTC,0
CERK,0
CHLPCTD,0
CHOLATEt2,0
CHOLATEt3,0
CHOLK,0
CHOLtu,-0
CHSTEROLt1,-0
CHSTEROLtg,0
CHTNASE,-0
CHTNASEe,59.6425234749675
CITRtm,-1000
CITt4_2,-1000
CITtbm,0.37278
CK_cho,-0
CKc_cho,-0
CLFORtex,0
CLHCO3tex2,1000
CLI2tex,0
CLOHtex2_1,0
CLOXAtex2,0
CLPNDCPT1,0
CLPNDCRNt,1000
CLS_hs,8.54560363841948
CMPACNAtg,0
ACNMCT,0
CMPSASn,0
CO2ter,-798.64304498918
CO2tm,999.25444
CO2tp,0
COAtim,-767.741032688844
COAtp,0
COKECBESr,0
COQ3m,0
COQ6m,0
CRNt,0
CRNtim,1000
CRNtuNa,0
CSNt,-0
CYSGLTH,-1000
CYSGLUexR,-1000
CYSGLYex,-1000
CYSt4,0
CYTD,0
CYTDn,-0
CYTDt,-1.01136080035902e-14
CYTDt4,0
CYTDtl,-0
CYTDtm,0
CYTK13n,35.5355784168211
CYTK3,-82.7570389063512
CYTK4,1000
D_3AIBt,178.483688206787
D3AIBTm,-178.483688206787
DADNt4,-927.092615930619
DAGK_hs,0
DAGt,-512.817672432785
DALAt2r,1000
DASPO1p,-0
DATPtn,9.66346652644398
DCIm,0
DCK1m,-960.822754155174
DCK1n,35.5355784168211
DCK2n,-7.73237923590557e-15
DCSPTN1CPT1,0
DCSPTN1CRNt,1000
DCTPtn,-28.614357834049
DCYTD,0
DCYTDn,960.822754155175
DCYTt,35.5355784168216
DEBRISOQUINEt,-0
DESAT18_9,0
DESAT20_1,0
DESAT20_2,0
DGAT,0
DGK2m,33.7301382245559
DGNSKm,33.7301382245559
DGSNt,0
DGSNtm,33.7301382245559
DGTPtn,7.25547991191251
DHAAt1r,-0
DHCR242r,-0
DHCRD1,-0
DHCRD2,0
DHDPBMTm,-0
DHEASt,-1000
DHEASULT,0
DHORD9,-0
DHPM1,0
DHPM2,0
DINt,1000
D_LACt2,789.943012426327
DLNLCGCPT1,0
DLNLCGCRNt,-1000
DLNLCGt,2.5
DM_datp_m,84.6027954650732
DM_ethamp_r,-0
DM_sprm_c,1000
DMHPTCRNCPT2,0
DMHPTCRNt,0
DMHPTCRNte,-0
DNDPt10m,0
DNDPt11m,33.7301382245559
DNDPt12m,0
DNDPt13m,50.8726572405173
DNDPt14m,0
DNDPt15m,0
DNDPt16m,0
DNDPt17m,0
DNDPt18m,0
DNDPt19m,0
DNDPt1m,0
DNDPt20m,0
DNDPt21m,0
DNDPt23m,0
DNDPt24m,0
DNDPt25m,0
DNDPt28m,0
DNDPt2m,0
DNDPt30m,0
DNDPt31m,0
DNDPt32m,0
DNDPt37m,0
DNDPt38m,0
DNDPt39m,0
DNDPt3m,0
DNDPt40m,0
DNDPt41m,0
DNDPt42m,0
DNDPt43m,0
DNDPt44m,0
DNDPt45m,0
DNDPt46m,0
DNDPt47m,0
DNDPt48m,0
DNDPt49m,0
DNDPt4m,0
DNDPt50m,0
DNDPt51m,0
DNDPt52m,0
DNDPt53m,0
DNDPt54m,0
DNDPt55m,0
DNDPt56m,0
DNDPt57m,0
DNDPt58m,0
DNDPt59m,0
DNDPt5m,0
DNDPt60m,0
DNDPt61m,0
DNDPt62m,0
DNDPt63m,0
DNDPt6m,0
DNDPt7m,0
DOLGLCP_Lter,0
DOLGPP_Ler,0
DOLPH_Uer,-0
DOLP_Lter,0
DOPAMT,209.684207573673
DOPAQNISO1,0
DOPAtu,1000
DOPAVESSEC_1,0
