rxns,fluxvector
10FTHFtm,-1000
13DAMPPOX,-0
2HBt2,0
34DHOXPEGOX,0
34DHPHAMT,0
34DHPHEt,0
34DHALDD,1000
34DHPLACOX_NADP,-1000
34DHXMANDACOX_NADP,0
3HAO,0
3HKYNAKGAT,0
3M4HDXPAC,0
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP,0
3MOXTYROX,0
3SALAASPm,0
3SALACBOXL_cho,0
41R1H2MAE12BOOX,0
41R2A1H12BOOX,0
42A12BOOX,0
4ABUTtm,0
4HGLSDm,-0
4HOXPACDOX_NADP,-1000
5ADTSTSTERONEGLCte,-0
5ADTSTSTERONESULT,0
5AOPtm,1000
5HOXINOXDA,0
5HTRPVESSEC_1,0
5MTHFt,-0
A_MANASEly,0
A4GNT1g,0
A4GNT2g,0
AACTOOR,-0
AATA,-1000
ABUTt2rL,-0
ABUTt4_2_r,-1000
ACACT10m,-0
ACACT1m,0
ACACT1x,0.7437132
ACALDtm,-117.417738755554
ACCOAgt,0
ACCOALm,0
ACCOAtr,0
ACETONEt2,-0
ACGAMK,0
ACGAMPM,0
ACGPID,-0
ACHVESSEC_1,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMlt,0
ACNAMPH,0
ACNML,-3.57073811603508e-13
ACOAD10m,0
ACOAD1fm,0
ACOAD9m,0
ACONTm,1000
ACP1_FMN,0
ACRNtm,-1000
ACS2,0
ACSm,0
ACt2m,-117.790518755554
ACTLMO,0
ACTNMO,-0
ADEt,-0
ADK1m,-83.5016702341906
ADK3,-916.6392600587
ADK3m,999.62722
ADKd,1000
ADMDC,0
ADNCYC,0
ADNK1m,916.12554976581
ADNt,505.175883411768
ADNt4,0
ADNtl,-0
ADNtm,916.125549765809
ADPMAN,-0
ADPRIBt,-0
ADRNCPT1,0
ADRNCRNt,-1000
ADRNLPVESSEC_1,0
AG13T16g,0
AG13T17g,0
AG13T18g,0
AG13T1g,0
AG13T2g,0
AG13T3g,0
AGPAT1_1,-0
AGTim,991.007600000001
AGTix,-0
AHANDROSTANGLCte,-0
AHCYStr,736.123687864006
AHEXASE2ly,0
AHEXASEly,0
AKGMALtm,-1000
AKGt4_3,-1000
AKR1D,0
AKR1D2,0
ALADGLNexR,-1000
ALADGLYexR,0
ALAGLNexR,1000
ALAGLYexR,-1000
ALASm,0
ALAt4,0
ALATA_L,-86.5955672815912
ALCD21_D,0
LCARS,-308.084236012275
ALCD22_D,0
ALCD22_L,308.084236012275
ALCD2x,0
ALDD20x,0
ALDD20xm,-0
ALDD21,-0
ALDD2xm,117.417738755554
ALDD2y,0
ALOX12,0
ALOX15,0
ALOX5,-2.62210324374952e-13
ALOX52,-2.62210324374952e-13
ALR2,308.084236012275
ALR3,308.084236012275
AMETr,-736.123687864006
AMPDA,1000
AMY1e,-0
AMY2e,-0
ANDRSTRNGLCte,-0
APRTO2,-0
ARABR,0
ARACHCPT1,1.11494659525584e-13
ARACHCRNt,-1000
ARACHDt2,-258.520067596242
ARGLYSex,0
ARGNm,0
ARGtm,0
ARTFR208,754.824600337778
ASAH1,0
ASCBOX_1,500
ASNNm,-0
ASNt4,0
ASPDt6,-0
ASPGLUm,0
ASPt6,-0
ATPH1e,0
ATPH2e,0
ATPtm,1000
B3GALT3g,-0
B3GALT41g,0
B3GALT42g,-0
B3GALT43g,-0
B3GALT44g,-0
B3GALT5g,-0
B3GNT11g,0
B3GNT12g,0
B3GNT51g,-0
BAAT1x,0
BAAT2x,0
BAAT3x,-0
BAAT4x_cho,3.718566
BACCL,0
BACCLm,-0
BALAVECSEC_1,0
BAMPPALDOX,0
BBHOX,-0
BCDO,-0
BDHm,-1.4874264
BHBt,-1.4874264
BHBtm,-1.4874264
BHMT,-0
BILDGLCURte,0
BILGLCURt,1000
BILGLCURte,0
BILIRED,0
BILIRUBtr,-0
BPNT2,0
BTNPL,-0
BTNPLm,-0
BTNt4i,0
C14STRr,-0
C160CPT1,-0
C160CPT2,0
C160CRNt,1000
C161CPT1,0
C161CPT12,0
C161CRN2t,-1000
C161CRNt,0
C180CPT1,-1.11494659525584e-13
C180CRNt,1000
C181CPT1,-1.13539514819887e-13
C181CRNt,1000
C204CPT1,1.11494659525584e-13
C204CRNt,-1000
C226CPT1,0
C3STDH1Pr,0
C3STDH1r,0
C3STKR2r,-0
C4STMO2Pr,0
C4STMO2r,0
CAATPS_1,0
CAt7r,-1000
CBPPer,646.776224818171
CBPSam,-1.26158290150204e-13
CBPter,646.776224818171
CDIPTr,-8.60794262286024
CDS,0
CDSm,-0
CEPTC,0
CERK,0
CHLPCTD,0
CHOLATEt2,0
CHOLATEt3,0
CHOLK,0
CHOLtu,-0
CHSTEROLt1,-0
CHSTEROLtg,0
CHTNASE,1.19024603867836e-13
CHTNASEe,0
CITRtm,-1000
CITt4_2,-1000
CITtbm,0.37278
CK_cho,-0
CKc_cho,-0
CLFORtex,0
CLHCO3tex2,628.487291204569
CLI2tex,0
CLOHtex2_1,0
CLOXAtex2,0
CLPNDCPT1,0
CLPNDCRNt,999.999999999999
CLS_hs,8.60794262286024
CMPACNAtg,0
ACNMCT,0
CMPSASn,0
CO2ter,-646.776224818171
CO2tm,999.62722
COAtim,-111.434112355556
COKECBESr,0
COQ3m,0
COQ6m,0
CRNt,0
CRNtim,1000
CRNtuNa,0
CSNt,-0
CYSGLTH,-953.150457235047
CYSGLUexR,-342.716148916296
CYSGLYex,-1000
CYSt4,0
CYTD,0
CYTDn,-0
CYTDt,1.9665715274529e-13
CYTDt4,0
CYTDtl,-0
CYTDtm,0
CYTK13n,-13.1543461263049
CYTK3,0
CYTK4,1000
D_3AIBt,-1.28199268575275e-13
D3AIBTm,1.28199268575275e-13
DADNt4,0
DAGK_hs,0
DAGt,-1000
DALAt2r,1000
DASPO1p,0
DATPtn,9.73396016445072
DCIm,0
DCK1m,-911.587809998896
DCK1n,-13.1543461263049
DCK2n,1.90354061384281e-15
DCSPTN1CPT1,0
DCSPTN1CRNt,1000
DCTPtn,20.1260560461065
DCYTD,0
DCYTDn,960.536961621085
DCYTt,35.7948054958841
DEBRISOQUINEt,-0
DESAT18_9,0
DESAT20_1,0
DESAT20_2,0
DGAT,0
DGCHOLte,-1.71019811537963e-31
DGCHOLtx,3.718566
DGK2m,33.9761948696959
DGNSKm,33.9761948696959
DGSNt,0
DGSNtm,33.9761948696959
DGTPtn,7.30840762404106
DHAAt1r,-0
DHCR242r,-0
DHCRD1,-0
DHCRD2,0
DHDPBMTm,-0
DHEASt,-370.615233859661
DHEASULT,0
DHORD9,-0
DHPM1,960.536961621085
DHPM2,0
DINt,73.4392332486107
D_LACt2,-913.777212718409
DLNLCGCPT1,0
DLNLCGCRNt,-1000
DLNLCGt,0
DM_datp_m,85.2199610362008
DM_yvite_c,-0
DNDPt10m,0
DNDPt11m,33.9761948696959
DNDPt12m,0
DNDPt13m,51.2437661665049
DNDPt14m,0
DNDPt15m,0
DNDPt16m,0
DNDPt17m,0
DNDPt18m,0
DNDPt19m,0
DNDPt1m,0
DNDPt20m,0
DNDPt21m,0
DNDPt23m,0
DNDPt24m,0
DNDPt25m,0
DNDPt28m,0
DNDPt2m,0
DNDPt30m,0
DNDPt31m,0
DNDPt32m,0
DNDPt37m,0
DNDPt38m,0
DNDPt39m,0
DNDPt3m,0
DNDPt40m,0
DNDPt41m,0
DNDPt42m,0
DNDPt43m,0
DNDPt44m,0
DNDPt45m,0
DNDPt46m,0
DNDPt47m,0
DNDPt48m,0
DNDPt49m,0
DNDPt4m,0
DNDPt50m,0
DNDPt51m,0
DNDPt52m,0
DNDPt53m,0
DNDPt54m,0
DNDPt55m,0
DNDPt56m,0
DNDPt57m,0
DNDPt58m,0
DNDPt59m,0
DNDPt5m,0
DNDPt60m,0
DNDPt61m,0
DNDPt62m,0
DNDPt63m,0
DNDPt6m,0
DNDPt7m,0
DOLGLCP_Lter,0
DOLGPP_Ler,0
DOLP_Lter,0
DOPAMT,163.231102889444
DOPAt4_2_r,-1000
DOPAtu,1000
DOPAVESSEC_1,0
DPGase,0
DPGM,0
DRPA,1000
DTDPtn,1000
DTTPtn,-990.333970074124
DUDPtn,-960.536961621085
DURAD,-960.536961621085
DURAD2,-0
DURIK1,0
DURIK1m,0
DURIt,-1000
DURItn,-960.536961621085
DUTPDPm,0
ECOAH1x,0
EICOSTETCPT1,0
EICOSTETCRNt,-1000
ELAIDCPT1,-0
ELAIDCRNt,1000
ELAIDt,0
ESTRADIOLGLCt,-0
ESTRADIOLtr,1000
ESTRIOLGLCte,-0
ESTRIOLtr,-0
ESTRONEGLCt,-0
ESTRONESt,-1000
ESTRONESt2,0
ESTRONEtr,-1000
ETHAK,0
ETOHMO,0
EX_34dhphe_e,-0
EX_3aib__D_e,-1.28199268575275e-13
EX_5thf_e,-0
EX_adrn_e,1.62
EX_arach_e,1.00999999999989
EX_atp_e,-1000
EX_bhb_e,1.4874264
EX_chsterol_e,-958.594280826149
EX_chtn_e,-1.19024603867836e-13
EX_clpnd_e,1.81
EX_cmp_e,-1000
EX_dcsptn1_e,0.09
EX_dgchol_e,1.71019811537963e-31
EX_dlnlcg_e,2.29
EX_dopa_e,-1000
EX_eicostet_e,0.06
EX_elaid_e,0.09
EX_gsn_e,-0
EX_hdca_e,270.12
EX_hdcea_e,64.65
EX_hexc_e,0.49
EX_hpdca_e,5.59
EX_idp_e,-1000
EX_imp_e,1000
EX_inost_e,-517.215146873562
EX_lac__D_e,913.777212718409
EX_leuktrC4_e,1000
EX_leuktrE4_e,-1000
EX_lgnc_e,1.19
EX_lneldc_e,0.09
EX_lnlc_e,1000
EX_lnlncg_e,4.75000000000011
EX_nrvnc_e,0.29
EX_o2s_e,-1000
EX_ocdca_e,-0.1
EX_ocdcea_e,-0.0192
EX_pe_hs_e,-396.62095032365
EX_pglyc_hs_e,-10.7595590924961
EX_prostge2_e,-1000
EX_ps_hs_e,-788.443909090578
EX_ptdca_e,2.61
EX_Rtotal_e,1000
EX_Rtotal2_e,13.1900000000002
EX_Rtotal3_e,-0
EX_strdnc_e,0.09
EX_tethex3_e,0.09
EX_tetpent3_e,0.09
EX_tetpent6_e,0.09
EX_tettet6_e,0.09
EX_thf_e,-0
EX_tmndnc_e,1.91
EX_ttdca_e,24.8
EX_urate_e,1000
EX_utp_e,-1000
EX_vacc_e,-1.94
EX_xolest_hs_e,943.530750422222
F1PGT,-0
FACOAL1831,0
FACOAL191,-0
FACOAL206,-0
FADDP,0
FAEL183,0
FAEL184,0
FAEL204,0
