rxns	rxnnames	subsystems	keggid	reactomeid	fbasolutiontissuev
10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion	Transport, mitochondrial			-838.927287691157
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	Beta-Alanine metabolism			-0
2DR1PP	2-deoxy-D-ribose 1-phosphate phosphorylase	Pyrimidine catabolism			0
2HBt2	2 hydroxybutyrate cotransport with proton	Transport, extracellular			0
34DHOXPEGOX	3,4-Dihydroxyphenylethyleneglycol NAD+ oxidoreductase	Tyrosine metabolism	R04880		0
34DHPHAMT	3,4-Dihydroxyphenylacetate:amet O-methyltransferase	Tyrosine metabolism			0
34DHPHEt	3,4-Dihydroxy-L-phenylalanine transport	Transport, extracellular			-0
34DHALDD	Aldehyde dehydrogenase  3 4 dihydroxyphenylacetaldehyde  NAD 	Tyrosine metabolism	R03300		0
34DHPLACOX_NADP	34DHPLACOX LPAREN NADP RPAREN 	Tyrosine metabolism	R03302		0
34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	Tyrosine metabolism			1000
34DHXMANDACOX_NADP	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	Tyrosine metabolism			-1000
3HAO	3 hydroxyanthranilate 3 4 dioxygenase	Tryptophan metabolism	R02665	R-BTA-71218; R-CEL-71218; R-CFA-71218; R-DDI-71218; R-DRE-71218; R-GGA-71218; R-HSA-71218; R-MMU-71218; R-RNO-71218; R-SCE-71218; R-TGU-71218; R-XTR-71218	-0
3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	Tryptophan metabolism			0
3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	Tyrosine metabolism			0
3MOPt2im	3-Methyl-2-oxopentanoate mitochondrial transport via proton symport	Transport, mitochondrial			667.349717830341
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	Tyrosine metabolism			0
3MOX4HOXPGALDOX_NADP	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	Tyrosine metabolism			0
3MOXTYROX	3-Methoxytyramine:oxygen oxidoreductase (deaminating)	Tyrosine metabolism	R04890		0
3SALAASPm	Cysteinesulfinate-aspartate mitochondrial shuttle	Transport, mitochondrial			0
3SALACBOXL_cho	3-Sulfino-L-alanine carboxy-lyase	Taurine and hypotaurine metabolism			0
41R1H2MAE12BOOX	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Tyrosine metabolism			0
41R2A1H12BOOX	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Tyrosine metabolism	R02532		0
42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Tyrosine metabolism	R04300		0
4ABUTtm	4 aminobutanoate mitochondrial transport via diffusion	Transport, mitochondrial		R-ATH-888592; R-BTA-888592; R-CEL-888592; R-CFA-888592; R-DME-888592; R-DRE-888592; R-GGA-888592; R-HSA-888592; R-MMU-888592; R-OSA-888592; R-RNO-888592; R-SCE-888592; R-SSC-888592; R-TGU-888592; R-XTR-888592	0
4HGLSDm	L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial	Arginine and proline metabolism	R05051		-0
4HOXPACDOX_NADP	4HOXPACDOX LPAREN NADP RPAREN 	Tyrosine metabolism			-1000
4MOPt2im	4-methyl-2-oxopentanoate mitochondrial transport  via proton symport	Transport, mitochondrial			835.982686428271
5ADTSTSTERONEGLCte	Glucuronidated compound transport	Transport, extracellular			-0
5ADTSTSTERONESULT	5alpha-Dihydrotestosterone sulfotransferase	Steroid metabolism			0
5AOPtm	5 Aminolevulinate mitochondrial transport	Heme synthesis		R-GGA-421517; R-HSA-189456	1000
5HOXINOXDA	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Tryptophan metabolism	R02908	R-BTA-141186; R-CEL-141186; R-CFA-141186; R-DRE-141186; R-GGA-141186; R-HSA-141186; R-MMU-141186; R-RNO-141186; R-SSC-141186; R-TGU-141186; R-XTR-141186	0
5HTRPVESSEC_1	5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven)	Transport, extracellular			0
5MTHFt	5-Methyltetrahydrofolate transport via receptor binding and protolysis	Transport, extracellular		R-BTA-200652; R-CEL-200652; R-CFA-200652; R-DDI-200652; R-DME-200652; R-DRE-200652; R-GGA-200652; R-HSA-200652; R-MMU-200652; R-RNO-200652; R-SSC-200652; R-TGU-200652; R-XTR-200652	1000
A_MANASEly	Alpha-mannosidase, lysosomal	N-glycan degradation			0
A4GNT1g	Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus	O-glycan metabolism			0
A4GNT2g	Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus	O-glycan metabolism			0
AACTOOR	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	Glycine, serine, alanine, and threonine metabolism	R02529		0
AACTtm	Aminoacetone transport (mitochondrial)	Transport, mitochondrial			-0
