	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L1_CD49a	L2_CD49a	L3_CD49a
43891	174	4	2	154	19	1	37	30	2	115	61	0
43892	3627	3709	2834	3429	2832	2266	2918	3415	2376	2746	2923	2486
43893	261	183	250	201	176	170	214	211	211	246	344	282
43894	0	0	0	1	0	0	2	0	0	0	0	0
43895	2779	2305	2360	3157	2671	2340	2754	2529	2408	2406	2688	2732
43896	801	745	735	970	839	891	637	742	488	654	705	679
43897	10020	6112	7457	6634	5151	5739	9153	6473	8655	7312	6118	7515
43898	87	14	56	204	180	105	22	12	0	117	96	31
43899	34	20	24	59	58	39	37	47	8	48	68	54
43900	0	0	0	0	0	0	0	0	0	1	0	0
43901	0	0	0	0	0	0	0	0	0	0	0	0
44075	13171	13056	11862	10740	8575	7004	14499	15107	10567	9678	9419	8593
44076	1617	1275	1293	2281	2194	1631	1723	1359	1398	2075	1721	1811
44077	0	0	0	0	0	0	0	0	0	0	0	0
44078	95	79	33	222	98	84	99	94	41	154	92	134
44079	2	0	0	2	3	0	0	0	0	3	0	1
44080	8278	8068	6480	8300	7761	6598	8203	10066	6937	6512	9388	8045
44081	6887	8751	4896	8872	7582	6008	8398	12430	6073	7279	7617	7135
44082	184	94	89	94	91	65	199	80	103	139	159	90
44083	9651	8478	5665	20047	17046	12704	9142	11061	6341	10783	13787	13111
44084	1	13	3	25	4	24	17	11	6	30	33	1
44085	3362	3939	2880	12511	12552	11251	4659	6331	3513	11139	10326	9467
44086	0	0	0	0	0	0	0	0	0	0	0	0
44088	0	0	0	0	0	0	0	0	0	0	0	0
0610005C13Rik	5	3	1	0	0	4	17	7	1	0	2	1
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	114	88	29	80	71	50	94	83	52	88	84	86
0610009E02Rik	7	6	10	2	4	2	5	6	17	4	11	8
0610009L18Rik	51	32	57	40	58	28	42	32	36	66	28	44
0610010F05Rik	488	175	197	530	599	473	438	382	249	629	546	428
0610010K14Rik	34	37	38	41	40	26	32	73	42	28	16	30
0610012D04Rik	0	1	2	1	3	3	0	0	0	6	0	0
0610012G03Rik	1300	1347	1365	1526	1064	1042	1189	1229	1014	1276	1217	1180
0610025J13Rik	0	0	1	1	0	0	0	0	0	1	0	0
0610030E20Rik	559	690	650	732	877	480	688	928	615	851	591	427
0610031O16Rik	0	0	5	1	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	3	0	0	0	0	0	0	0
0610038B21Rik	3	4	4	14	25	27	8	2	8	14	12	12
0610039K10Rik	5	0	15	9	3	15	10	16	22	9	14	13
0610040B10Rik	87	59	84	36	62	51	63	75	45	53	58	39
0610040F04Rik	0	0	0	2	0	4	0	0	0	2	5	0
0610040J01Rik	49	2	7	53	9	2	0	6	2	12	4	3
0610043K17Rik	1	13	18	10	6	3	7	10	2	8	1	5
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1010001B22Rik	11	1	5	2	2	2	1	0	1	1	8	2
1010001N08Rik	0	0	1	2	1	0	0	0	0	0	0	0
1100001I12Rik	0	0	1	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110002L01Rik	51	93	46	58	70	31	89	68	48	63	66	45
1110002O04Rik	0	4	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	5	10	14	8	6	10	2	6	8	4	14	12
1110004F10Rik	3251	3099	2423	3335	2641	2349	3311	3226	2379	3122	3046	2974
1110006O24Rik	45	22	11	39	50	14	45	32	42	26	18	36
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110008L16Rik	551	305	360	283	165	182	518	341	406	348	293	281
1110008P14Rik	319	398	334	1016	701	546	514	579	323	685	778	703
1110012L19Rik	358	350	333	460	334	330	440	350	304	402	431	388
1110013H19Rik	20	25	11	21	7	15	23	5	22	13	6	22
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	1	0	1	7	3	3	5	0	0	1	5	4
1110018N20Rik	1	0	0	0	0	0	0	0	1	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110019D14Rik	19	45	7	11	22	11	28	31	16	15	11	11
1110020A21Rik	36	23	18	11	17	15	44	32	20	26	20	18
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	12	4	15	11	22	3	9	10	2	9	7	5
1110028F11Rik	0	1	6	0	8	3	0	2	5	4	8	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110032A03Rik	281	177	256	198	189	132	207	168	164	157	149	139
1110032F04Rik	161	125	102	237	96	214	202	139	174	260	191	290
1110035H17Rik	10	3	6	4	5	5	8	12	6	4	18	5
1110036E04Rik	0	0	1	0	0	0	1	0	0	0	1	0
1110038B12Rik	115	119	101	64	50	36	62	115	70	69	65	51
1110038F14Rik	1237	1662	1415	1501	1088	1059	1303	1655	1025	1187	1179	1290
1110046J04Rik	0	2	0	18	5	18	1	6	0	12	6	10
1110051M20Rik	217	152	211	164	156	113	196	170	147	128	82	110
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	622	657	320	496	421	266	663	569	505	478	563	552
1110059G10Rik	882	751	967	894	814	798	1019	711	808	759	885	788
1110060G06Rik	0	0	0	1	0	0	0	0	0	0	0	0
1110065P20Rik	116	132	141	79	102	65	101	102	95	102	99	82
1190001M18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	1	0	0	6	6	4	2	1	0	8	6	3
